"Period","Direction","Passenger_type","Count"
201208,"Arrival","NZ Resident",190103
201208,"Arrival","Overseas visitor",178298
201208,"Arrival","PLT",6674
201208,"Departure","NZ Resident",193456
201208,"Departure","Overseas visitor",188239
201208,"Departure","PLT",6698
201208,"Net migration","PLT",-24
201209,"Arrival","NZ Resident",197229
201209,"Arrival","Overseas visitor",179069
201209,"Arrival","PLT",7570
201209,"Departure","NZ Resident",208004
201209,"Departure","Overseas visitor",157417
201209,"Departure","PLT",5702
201209,"Net migration","PLT",1868
201210,"Arrival","NZ Resident",238230
201210,"Arrival","Overseas visitor",184200
201210,"Arrival","PLT",7293
201210,"Departure","NZ Resident",190059
201210,"Departure","Overseas visitor",188080
201210,"Departure","PLT",5508
201210,"Net migration","PLT",1785
201211,"Arrival","NZ Resident",161596
201211,"Arrival","Overseas visitor",232119
201211,"Arrival","PLT",7341
201211,"Departure","NZ Resident",173185
201211,"Departure","Overseas visitor",206009
201211,"Departure","PLT",5644
201211,"Net migration","PLT",1697
201212,"Arrival","NZ Resident",128022
201212,"Arrival","Overseas visitor",363959
201212,"Arrival","PLT",7576
201212,"Departure","NZ Resident",216782
201212,"Departure","Overseas visitor",232359
201212,"Departure","PLT",8158
201212,"Net migration","PLT",-582
201301,"Arrival","NZ Resident",223210
201301,"Arrival","Overseas visitor",260637
201301,"Arrival","PLT",9045
201301,"Departure","NZ Resident",120982
201301,"Departure","Overseas visitor",358994
201301,"Departure","PLT",8370
201301,"Net migration","PLT",675
201302,"Arrival","NZ Resident",131652
201302,"Arrival","Overseas visitor",281233
201302,"Arrival","PLT",9202
201302,"Departure","NZ Resident",110664
201302,"Departure","Overseas visitor",272559
201302,"Departure","PLT",6781
201302,"Net migration","PLT",2421
201303,"Arrival","NZ Resident",140703
201303,"Arrival","Overseas visitor",270740
201303,"Arrival","PLT",7243
201303,"Departure","NZ Resident",155875
201303,"Departure","Overseas visitor",290709
201303,"Departure","PLT",7238
201303,"Net migration","PLT",5
201304,"Arrival","NZ Resident",161244
201304,"Arrival","Overseas visitor",200583
201304,"Arrival","PLT",6314
201304,"Departure","NZ Resident",184859
201304,"Departure","Overseas visitor",255399
201304,"Departure","PLT",6342
201304,"Net migration","PLT",-28
201305,"Arrival","NZ Resident",182210
201305,"Arrival","Overseas visitor",153034
201305,"Arrival","PLT",5883
201305,"Departure","NZ Resident",182414
201305,"Departure","Overseas visitor",178123
201305,"Departure","PLT",6207
201305,"Net migration","PLT",-324
201306,"Arrival","NZ Resident",181861
201306,"Arrival","Overseas visitor",159485
201306,"Arrival","PLT",6506
201306,"Departure","NZ Resident",198800
201306,"Departure","Overseas visitor",148408
201306,"Departure","PLT",5870
201306,"Net migration","PLT",636
201307,"Arrival","NZ Resident",240793
201307,"Arrival","Overseas visitor",183718
201307,"Arrival","PLT",8628
201307,"Departure","NZ Resident",237048
201307,"Departure","Overseas visitor",189868
201307,"Departure","PLT",6188
201307,"Net migration","PLT",2440
201308,"Arrival","NZ Resident",211225
201308,"Arrival","Overseas visitor",189284
201308,"Arrival","PLT",7728
201308,"Departure","NZ Resident",205058
201308,"Departure","Overseas visitor",202103
201308,"Departure","PLT",5473
201308,"Net migration","PLT",2255
201309,"Arrival","NZ Resident",206645
201309,"Arrival","Overseas visitor",191056
201309,"Arrival","PLT",8428
201309,"Departure","NZ Resident",211407
201309,"Departure","Overseas visitor",173596
201309,"Departure","PLT",4234
201309,"Net migration","PLT",4194
201310,"Arrival","NZ Resident",241700
201310,"Arrival","Overseas visitor",194973
201310,"Arrival","PLT",8249
201310,"Departure","NZ Resident",193808
201310,"Departure","Overseas visitor",194523
201310,"Departure","PLT",4148
201310,"Net migration","PLT",4101
201311,"Arrival","NZ Resident",169504
201311,"Arrival","Overseas visitor",251060
201311,"Arrival","PLT",8225
201311,"Departure","NZ Resident",171335
201311,"Departure","Overseas visitor",224501
201311,"Departure","PLT",4540
201311,"Net migration","PLT",3685
201312,"Arrival","NZ Resident",134782
201312,"Arrival","Overseas visitor",381892
201312,"Arrival","PLT",8514
201312,"Departure","NZ Resident",221184
201312,"Departure","Overseas visitor",255768
201312,"Departure","PLT",6106
